"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Books","Update a book with invalid data","0","0","2","0","0"
"","Books","Create a book with valid data","0","0","1","0","0"
"","Authors","Delete an author with invalid ID","0","0","1","0","0"
"","Books","Delete a book with valid ID","0","0","1","0","0"
"","Books","Create a book with invalid data","0","0","2","0","0"
"","Authors","Create an author with valid data","0","0","1","0","0"
"","Books","Delete a book with invalid ID","0","0","1","0","0"
"","Books","Update a book with valid data","0","0","1","0","0"
"","Authors","Update a book with valid data","0","0","1","0","0"
"","Books","Retrieve a book by valid ID","0","0","1","0","0"
"","Authors","Retrieve an author by valid book ID","0","0","1","0","0"
"","Books","Retrieve all books","0","0","1","0","0"
"","Authors","Retrieve all authors","0","0","1","0","0"
"","Authors","Retrieve an author by invalid book ID","0","0","1","0","0"
"","Books","Retrieve a book by invalid ID","0","0","1","0","0"
"","Authors","Retrieve an author by valid ID","0","0","1","0","0"
"","Authors","Create an author with invalid data","0","0","1","0","0"
"","Authors","Retrieve an author by invalid ID","0","0","1","0","0"
"","Authors","Update a book with invalid data","0","0","1","0","0"
"","Authors","Delete an author with valid ID","0","0","1","0","0"
