"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 13 22:30:47 UTC 2025","Wed Aug 13 22:30:47 UTC 2025","351","","Authors","","Update an author with invalid data","","Update an author with invalid data",""
"passed","Wed Aug 13 22:30:52 UTC 2025","Wed Aug 13 22:30:53 UTC 2025","637","","Books","","Create a book with valid data","","Create a book with valid data",""
"passed","Wed Aug 13 22:30:48 UTC 2025","Wed Aug 13 22:30:48 UTC 2025","630","","Authors","","Delete an author with valid ID","","Delete an author with valid ID",""
"passed","Wed Aug 13 22:30:37 UTC 2025","Wed Aug 13 22:30:37 UTC 2025","657","","Authors","","Retrieve an author by not existing book ID","","Retrieve an author by not existing book ID",""
"failed","Wed Aug 13 22:30:56 UTC 2025","Wed Aug 13 22:30:57 UTC 2025","975","","Books","","Update not existing book","","Update not existing book",""
"passed","Wed Aug 13 22:30:42 UTC 2025","Wed Aug 13 22:30:42 UTC 2025","335","","Authors","","Create an author with invalid data","","Create an author with invalid data",""
"passed","Wed Aug 13 22:30:51 UTC 2025","Wed Aug 13 22:30:52 UTC 2025","655","","Books","","Retrieve a not existing book","","Retrieve a not existing book",""
"failed","Wed Aug 13 22:30:44 UTC 2025","Wed Aug 13 22:30:45 UTC 2025","1309","","Authors","","Update an author ID to already existing ID","","Update an author ID to already existing ID",""
"passed","Wed Aug 13 22:30:49 UTC 2025","Wed Aug 13 22:30:50 UTC 2025","338","","Authors","","Delete an author with invalid ID","","Delete an author with invalid ID",""
"failed","Wed Aug 13 22:30:40 UTC 2025","Wed Aug 13 22:30:41 UTC 2025","1603","","Authors","","Create an author with not existing book ID","","Create an author with not existing book ID",""
"passed","Wed Aug 13 22:30:54 UTC 2025","Wed Aug 13 22:30:54 UTC 2025","339","","Books","","Create a book with invalid data","","Create a book with invalid data",""
"passed","Wed Aug 13 22:30:37 UTC 2025","Wed Aug 13 22:30:38 UTC 2025","359","","Authors","","Retrieve an author by invalid book ID","","Retrieve an author by invalid book ID",""
"failed","Wed Aug 13 22:30:59 UTC 2025","Wed Aug 13 22:30:59 UTC 2025","643","","Books","","Delete a not existing book","","Delete a not existing book",""
"passed","Wed Aug 13 22:30:47 UTC 2025","Wed Aug 13 22:30:47 UTC 2025","330","","Authors","","Update an author with invalid data","","Update an author with invalid data",""
"passed","Wed Aug 13 22:30:54 UTC 2025","Wed Aug 13 22:30:55 UTC 2025","973","","Books","","Update a book with valid data","","Update a book with valid data",""
"passed","Wed Aug 13 22:30:32 UTC 2025","Wed Aug 13 22:30:34 UTC 2025","1633","","Authors","","Retrieve all authors","","Retrieve all authors",""
"passed","Wed Aug 13 22:30:36 UTC 2025","Wed Aug 13 22:30:37 UTC 2025","686","","Authors","","Retrieve an author by valid book ID","","Retrieve an author by valid book ID",""
"failed","Wed Aug 13 22:30:45 UTC 2025","Wed Aug 13 22:30:47 UTC 2025","1597","","Authors","","Update an author with not existing book ID","","Update an author with not existing book ID",""
"passed","Wed Aug 13 22:30:35 UTC 2025","Wed Aug 13 22:30:36 UTC 2025","1029","","Authors","","Retrieve a non existing author","","Retrieve a non existing author",""
"passed","Wed Aug 13 22:30:51 UTC 2025","Wed Aug 13 22:30:51 UTC 2025","648","","Books","","Retrieve a book by valid ID","","Retrieve a book by valid ID",""
"passed","Wed Aug 13 22:30:41 UTC 2025","Wed Aug 13 22:30:42 UTC 2025","348","","Authors","","Create an author with invalid data","","Create an author with invalid data",""
"passed","Wed Aug 13 22:30:38 UTC 2025","Wed Aug 13 22:30:39 UTC 2025","1360","","Authors","","Create an author with valid data","","Create an author with valid data",""
"failed","Wed Aug 13 22:30:48 UTC 2025","Wed Aug 13 22:30:49 UTC 2025","941","","Authors","","Delete a not existing author","","Delete a not existing author",""
"passed","Wed Aug 13 22:30:50 UTC 2025","Wed Aug 13 22:30:51 UTC 2025","901","","Books","","Retrieve all books","","Retrieve all books",""
"passed","Wed Aug 13 22:30:42 UTC 2025","Wed Aug 13 22:30:44 UTC 2025","1609","","Authors","","Update an author with valid data","","Update an author with valid data",""
"passed","Wed Aug 13 22:30:34 UTC 2025","Wed Aug 13 22:30:35 UTC 2025","691","","Authors","","Retrieve an author by valid ID","","Retrieve an author by valid ID",""
"failed","Wed Aug 13 22:30:39 UTC 2025","Wed Aug 13 22:30:40 UTC 2025","650","","Authors","","Create an author with already existing ID","","Create an author with already existing ID",""
"passed","Wed Aug 13 22:30:55 UTC 2025","Wed Aug 13 22:30:56 UTC 2025","335","","Books","","Update a book with invalid data","","Update a book with invalid data",""
"passed","Wed Aug 13 22:30:36 UTC 2025","Wed Aug 13 22:30:36 UTC 2025","378","","Authors","","Retrieve an author by invalid ID","","Retrieve an author by invalid ID",""
"passed","Wed Aug 13 22:30:47 UTC 2025","Wed Aug 13 22:30:48 UTC 2025","332","","Authors","","Update an author with invalid data","","Update an author with invalid data",""
"passed","Wed Aug 13 22:30:52 UTC 2025","Wed Aug 13 22:30:52 UTC 2025","330","","Books","","Retrieve a book by invalid ID","","Retrieve a book by invalid ID",""
"passed","Wed Aug 13 22:30:58 UTC 2025","Wed Aug 13 22:30:58 UTC 2025","641","","Books","","Delete a book with valid ID","","Delete a book with valid ID",""
"failed","Wed Aug 13 22:30:57 UTC 2025","Wed Aug 13 22:30:58 UTC 2025","971","","Books","","Update a book ID to already existing ID","","Update a book ID to already existing ID",""
"failed","Wed Aug 13 22:30:53 UTC 2025","Wed Aug 13 22:30:53 UTC 2025","650","","Books","","Create a book with already existing ID","","Create a book with already existing ID",""
"passed","Wed Aug 13 22:30:55 UTC 2025","Wed Aug 13 22:30:55 UTC 2025","336","","Books","","Update a book with invalid data","","Update a book with invalid data",""
"passed","Wed Aug 13 22:30:53 UTC 2025","Wed Aug 13 22:30:54 UTC 2025","338","","Books","","Create a book with invalid data","","Create a book with invalid data",""
"passed","Wed Aug 13 22:30:58 UTC 2025","Wed Aug 13 22:30:59 UTC 2025","327","","Books","","Delete a book with invalid ID","","Delete a book with invalid ID",""
